"","CA","CAName"
"1","S12000005","Clackmannanshire"
"2","S12000006","Dumfries and Galloway"
"3","S12000008","East Ayrshire"
"4","S12000010","East Lothian"
"5","S12000011","East Renfrewshire"
"6","S12000013","Na h-Eileanan Siar"
"7","S12000014","Falkirk"
"8","S12000015","Fife"
"9","S12000017","Highland"
"10","S12000018","Inverclyde"
"11","S12000019","Midlothian"
"12","S12000020","Moray"
"13","S12000021","North Ayrshire"
"14","S12000023","Orkney Islands"
"15","S12000024","Perth and Kinross"
"16","S12000026","Scottish Borders"
"17","S12000027","Shetland Islands"
"18","S12000028","South Ayrshire"
"19","S12000029","South Lanarkshire"
"20","S12000030","Stirling"
"21","S12000033","Aberdeen City"
"22","S12000034","Aberdeenshire"
"23","S12000035","Argyll and Bute"
"24","S12000036","City of Edinburgh"
"25","S12000038","Renfrewshire"
"26","S12000039","West Dunbartonshire"
"27","S12000040","West Lothian"
"28","S12000041","Angus"
"29","S12000042","Dundee City"
"30","S12000044","North Lanarkshire"
"31","S12000045","East Dunbartonshire"
"32","S12000046","Glasgow City"
"33","S12000047","Fife"
"34","S12000048","Perth and Kinross"
"35","S12000049","Glasgow City"
"36","S12000050","North Lanarkshire"
