NAME,Year,Exporting
Aberdeen City,2016,11.96
Aberdeen City,2017,9.54
Aberdeenshire,2016,10.67
Aberdeenshire,2017,9.79
Angus,2016,1.21
Angus,2017,1.09
Argyll and Bute,2016,0.93
Argyll and Bute,2017,1.05
City of Edinburgh,2016,12.00
City of Edinburgh,2017,12.61
Clackmannanshire,2016,1.64
Clackmannanshire,2017,1.45
Dumfries and Galloway,2016,1.16
Dumfries and Galloway,2017,1.20
Dundee City,2016,2.34
Dundee City,2017,2.16
East Ayrshire,2016,0.65
East Ayrshire,2017,0.68
East Dunbartonshire,2016,0.18
East Dunbartonshire,2017,0.26
East Lothian,2016,0.47
East Lothian,2017,0.49
East Renfrewshire,2016,0.13
East Renfrewshire,2017,0.14
Falkirk,2016,6.28
Falkirk,2017,8.35
Fife,2016,7.87
Fife,2017,7.27
Glasgow City,2016,8.61
Glasgow City,2017,8.94
Highland,2016,2.59
Highland,2017,2.36
Inverclyde,2016,0.82
Inverclyde,2017,0.82
Midlothian,2016,0.46
Midlothian,2017,0.49
Moray,2016,2.49
Moray,2017,2.44
Na h-Eileanan Siar,2016,0.26
Na h-Eileanan Siar,2017,0.31
North Ayrshire,2016,1.46
North Ayrshire,2017,1.06
North Lanarkshire,2016,3.75
North Lanarkshire,2017,3.75
Orkney Islands,2016,0.33
Orkney Islands,2017,0.43
Perth and Kinross,2016,0.97
Perth and Kinross,2017,0.96
Renfrewshire,2016,6.28
Renfrewshire,2017,6.37
Scotland,2016,100.00
Scotland,2017,100.00
Scottish Borders,2016,1.15
Scottish Borders,2017,1.22
Shetland Islands,2016,0.33
Shetland Islands,2017,0.43
South Ayrshire,2016,3.16
South Ayrshire,2017,3.08
South Lanarkshire,2016,3.50
South Lanarkshire,2017,4.24
Stirling,2016,0.69
Stirling,2017,0.76
West Dunbartonshire,2016,2.19
West Dunbartonshire,2017,2.20
West Lothian,2016,3.47
West Lothian,2017,4.07
