Type,Year,Value
In,2002,27800
In,2003,25500
In,2004,28500
In,2005,41800
In,2006,41300
In,2007,45100
In,2008,45200
In,2009,45100
In,2010,47400
In,2011,44200
In,2012,35900
In,2013,28200
In,2014,33200
In,2015,37800
In,2016,40400
In,2017,32900
In,2018,32919
Net,2002,1600
Net,2003,-1400
Net,2004,3100
Net,2005,12800
Net,2006,9900
Net,2007,24200
Net,2008,14900
Net,2009,20300
Net,2010,22800
Net,2011,27300
Net,2012,9700
Net,2013,2100
Net,2014,8000
Net,2015,19600
Net,2016,22900
Net,2017,13400
Net,2018,10919
Out,2002,26200
Out,2003,26900
Out,2004,25400
Out,2005,29000
Out,2006,31400
Out,2007,20900
Out,2008,30300
Out,2009,24800
Out,2010,24600
Out,2011,16900
Out,2012,26200
Out,2013,26100
Out,2014,25200
Out,2015,18200
Out,2016,17500
Out,2017,19500
Out,2018,22000
